ticker,cik,adsh,period,status,filing_url
ORLY,898173,0000898173-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/898173/000089817326000009/
OXY,797468,0001628280-26-009059,20251231,untagged,https://www.sec.gov/Archives/edgar/data/797468/000162828026009059/
ODFL,878927,0001193125-26-067161,20251231,tagged,https://www.sec.gov/Archives/edgar/data/878927/000119312526067161/
OKE,1039684,0001039684-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1039684/000103968426000006/
OTIS,1781335,0001781335-26-000011,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1781335/000178133526000011/
PCAR,75362,0001193125-26-057025,20251231,tagged,https://www.sec.gov/Archives/edgar/data/75362/000119312526057025/
PKG,75677,0001193125-26-074129,20251231,tagged,https://www.sec.gov/Archives/edgar/data/75677/000119312526074129/
PH,76334,0000076334-25-000035,20250630,tagged,https://www.sec.gov/Archives/edgar/data/76334/000007633425000035/
PAYX,723531,0000950170-25-095300,20250531,tagged,https://www.sec.gov/Archives/edgar/data/723531/000095017025095300/
PNR,77360,0000077360-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/77360/000007736026000007/
PEP,77476,0000077476-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/77476/000007747626000007/
PCG,1004980,0001004980-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1004980/000100498026000009/
PM,1413329,0001628280-26-005939,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1413329/000162828026005939/
PSX,1534701,0001534701-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1534701/000153470126000006/
PNW,764622,0000764622-26-000011,20251231,untagged,https://www.sec.gov/Archives/edgar/data/764622/000076462226000011/
PPG,79879,0000079879-26-000046,20251231,tagged,https://www.sec.gov/Archives/edgar/data/79879/000007987926000046/
PPL,922224,0000922224-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/922224/000092222426000008/
PG,80424,0000080424-25-000076,20250630,tagged,https://www.sec.gov/Archives/edgar/data/80424/000008042425000076/
PEG,788784,0001193125-26-077446,20251231,tagged,https://www.sec.gov/Archives/edgar/data/788784/000119312526077446/
PHM,822416,0000822416-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/822416/000082241626000007/
PWR,1050915,0001050915-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1050915/000105091526000006/
RL,1037038,0001628280-26-037074,20260331,tagged,https://www.sec.gov/Archives/edgar/data/1037038/000162828026037074/
RTX,101829,0000101829-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/101829/000010182926000006/
RSG,1060391,0001060391-26-000094,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1060391/000106039126000094/
ROK,1024478,0001024478-25-000116,20250930,tagged,https://www.sec.gov/Archives/edgar/data/1024478/000102447825000116/
ROL,84839,0000084839-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/84839/000008483926000008/
ROST,745732,0000745732-26-000006,20260131,tagged,https://www.sec.gov/Archives/edgar/data/745732/000074573226000006/
RCL,884887,0000884887-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/884887/000088488726000007/
SLB,87347,0001193125-26-021017,20251231,tagged,https://www.sec.gov/Archives/edgar/data/87347/000119312526021017/
SRE,1032208,0001032208-26-000010,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1032208/000103220826000010/
SHW,89800,0000089800-26-000008,20251231,tagged,https://www.sec.gov/Archives/edgar/data/89800/000008980026000008/
SJM,91419,0000091419-26-000050,20260430,tagged,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/
SW,2005951,0001628280-26-012555,20251231,untagged,https://www.sec.gov/Archives/edgar/data/2005951/000162828026012555/
SNA,91440,0000091440-26-000045,20251231,tagged,https://www.sec.gov/Archives/edgar/data/91440/000009144026000045/
SO,92122,0000092122-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/
LUV,92380,0000092380-26-000004,20251231,tagged,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/
SWK,93556,0000093556-26-000009,20251231,tagged,https://www.sec.gov/Archives/edgar/data/93556/000009355626000009/
SBUX,829224,0000829224-25-000114,20250930,tagged,https://www.sec.gov/Archives/edgar/data/829224/000082922425000114/
STLD,1022671,0001104659-26-021395,20251231,untagged,https://www.sec.gov/Archives/edgar/data/1022671/000110465926021395/
SYY,96021,0000096021-25-000099,20250630,tagged,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/
TPR,1116132,0001116132-25-000019,20250630,tagged,https://www.sec.gov/Archives/edgar/data/1116132/000111613225000019/
TRGP,1389170,0001193125-26-059296,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1389170/000119312526059296/
TGT,27419,0000027419-26-000016,20260131,tagged,https://www.sec.gov/Archives/edgar/data/27419/000002741926000016/
TSLA,1318605,0001628280-26-003952,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/
TPL,1811074,0001811074-26-000018,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/
TXT,217346,0000217346-26-000006,20251231,tagged,https://www.sec.gov/Archives/edgar/data/217346/000021734626000006/
TJX,109198,0000109198-26-000008,20260131,tagged,https://www.sec.gov/Archives/edgar/data/109198/000010919826000008/
TSCO,916365,0000916365-26-000014,20251231,tagged,https://www.sec.gov/Archives/edgar/data/916365/000091636526000014/
TT,1466258,0001628280-26-005731,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1466258/000162828026005731/
TDG,1260221,0001260221-25-000081,20250930,tagged,https://www.sec.gov/Archives/edgar/data/1260221/000126022125000081/
TSN,100493,0000100493-25-000095,20250930,tagged,https://www.sec.gov/Archives/edgar/data/100493/000010049325000095/
UBER,1543151,0001543151-26-000015,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1543151/000154315126000015/
ULTA,1403568,0001104659-26-035243,20260131,untagged,https://www.sec.gov/Archives/edgar/data/1403568/000110465926035243/
UNP,100885,0000100885-26-000037,20251231,tagged,https://www.sec.gov/Archives/edgar/data/100885/000010088526000037/
UAL,100517,0000100517-26-000023,20251231,tagged,https://www.sec.gov/Archives/edgar/data/100517/000010051726000023/
UPS,1090727,0001628280-26-008432,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1090727/000162828026008432/
URI,1067701,0001067701-26-000007,20251231,tagged,https://www.sec.gov/Archives/edgar/data/1067701/000106770126000007/
