ticker,segment,revenue,share,class,fiscal_year,filing_url,method
SJM,AwayFromHome,879000000.0,0.10210126494058612,neutral,2026,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/,xbrl
SJM,SweetBakedSnacks,971300000.0,0.11282247854014937,neutral,2026,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/,xbrl
SJM,U.S.RetailCoffee,3304900000.0,0.38388449431415594,neutral,2026,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/,xbrl
SJM,U.S.RetailFrozenHandheldAndSpreads,1853900000.0,0.21534190565796657,neutral,2026,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/,xbrl
SJM,U.S.RetailPetFoods,1600000000.0,0.18584985654714198,neutral,2026,https://www.sec.gov/Archives/edgar/data/91419/000009141926000050/,xbrl
SNA,ToolsGroup,1964900000.0,0.343971010433443,neutral,2025,https://www.sec.gov/Archives/edgar/data/91440/000009144026000045/,xbrl
SNA,RepairSystemsAndInformationGroup,1877100000.0,0.32860093830964215,neutral,2025,https://www.sec.gov/Archives/edgar/data/91440/000009144026000045/,xbrl
SNA,CommercialAndIndustrialGroup,1457500000.0,0.25514669841047544,neutral,2025,https://www.sec.gov/Archives/edgar/data/91440/000009144026000045/,xbrl
SNA,FinancialServices,412900000.0,0.07228135284643933,neutral,2025,https://www.sec.gov/Archives/edgar/data/91440/000009144026000045/,xbrl
SO,ProductAndServiceOther,1284000000.0,0.043447365749670085,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/,xbrl
SO,NaturalGas,5044000000.0,0.1706764118701993,exposed,2025,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/,xbrl
SO,Retail,19331000000.0,0.6541129496159442,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/,xbrl
SO,OtherElectricRevenue,953000000.0,0.03224714918959158,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/,xbrl
SO,WholesaleElectric,2941000000.0,0.0995161235745948,electricity_generation,2025,https://www.sec.gov/Archives/edgar/data/92122/000009212226000006/,xbrl
LUV,CargoAndFreight,171000000.0,0.0030428129114915122,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,PassengerLoyaltyAirTransportation,3259000000.0,0.05799138759386455,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,PassengerRevenueNonLoyalty,20441000000.0,0.36373180540232747,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,OtherRevenue,2600000000.0,0.04626499163671305,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,Passenger,25535000000.0,0.4543756005551799,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,ProductAndServiceOther,2357000000.0,0.04194099434143564,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
LUV,PassengerAncillarySoldSeparately,1835000000.0,0.032652407558987864,exposed,2025,https://www.sec.gov/Archives/edgar/data/92380/000009238026000004/,xbrl
SWK,EngineeredFasteningSegment,1972200000.0,0.1303468513720721,neutral,2025,https://www.sec.gov/Archives/edgar/data/93556/000009355626000009/,xbrl
SWK,ToolsAndOutdoorSegment,13158200000.0,0.8696531486279279,neutral,2025,https://www.sec.gov/Archives/edgar/data/93556/000009355626000009/,xbrl
SBUX,ChannelDevelopment,1871700000.0,0.05049818290718662,neutral,2025,https://www.sec.gov/Archives/edgar/data/829224/000082922425000114/,xbrl
SBUX,InternationalSegment,7819900000.0,0.2109797192476939,neutral,2025,https://www.sec.gov/Archives/edgar/data/829224/000082922425000114/,xbrl
SBUX,NorthAmericaSegment,27373100000.0,0.7385220978451195,neutral,2025,https://www.sec.gov/Archives/edgar/data/829224/000082922425000114/,xbrl
SYY,BeverageProducts1,2986000000.0,0.036696571217893575,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,CannedAndDryProducts1,14645000000.0,0.17998033673343986,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,Seafood1,2779000000.0,0.03415263610667322,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,FreshAndFrozenMeats1,15186000000.0,0.18662897873909304,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,FreshProduce1,6632000000.0,0.08150423989185203,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,Poultry1,8136000000.0,0.0999877104583999,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,DairyProducts1,8686000000.0,0.10674695833845398,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,OtherProducts,2649000000.0,0.03255499569866044,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,PaperAndDisposables1,5495000000.0,0.06753103109254024,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,EquipmentAndSmallwares,1889000000.0,0.02321494408258572,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
SYY,FrozenFruitsVegetablesBakeryAndOther1,12287000000.0,0.15100159764040802,neutral,2025,https://www.sec.gov/Archives/edgar/data/96021/000009602125000099/,xbrl
TPR,Accessories,1809300000.0,0.25807693953528177,neutral,2025,https://www.sec.gov/Archives/edgar/data/1116132/000111613225000019/,xbrl
TPR,Other,742300000.0,0.10588101045544668,neutral,2025,https://www.sec.gov/Archives/edgar/data/1116132/000111613225000019/,xbrl
TPR,Footwear,612800000.0,0.08740924586703182,neutral,2025,https://www.sec.gov/Archives/edgar/data/1116132/000111613225000019/,xbrl
TPR,Handbags,3846300000.0,0.5486328041422397,neutral,2025,https://www.sec.gov/Archives/edgar/data/1116132/000111613225000019/,xbrl
TRGP,Service,2624800000.0,0.15414339658098578,exposed,2025,https://www.sec.gov/Archives/edgar/data/1389170/000119312526059296/,xbrl
TRGP,Product,14403500000.0,0.8458566034190143,exposed,2025,https://www.sec.gov/Archives/edgar/data/1389170/000119312526059296/,xbrl
TGT,ReportableSegment,104780000000.0,1.0,neutral,2026,https://www.sec.gov/Archives/edgar/data/27419/000002741926000016/,xbrl
TSLA,AutomotiveSales,65821000000.0,0.24401826958011108,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,EnergyGenerationAndStorage,12771000000.0,0.04734594310034181,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,AutomotiveRevenues,69526000000.0,0.25775382037384426,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,EnergyGenerationAndStorageLeasing,501000000.0,0.0018573578806100734,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,ServicesAndOther,12530000000.0,0.04645248352104635,neutral,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,EnergyGenerationAndStorageSales,12270000000.0,0.04548858521973174,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,AutomotiveLeasing,1712000000.0,0.00634689958404081,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,AutomotiveRegulatoryCredits,1993000000.0,0.007388651209692368,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TSLA,SalesAndServices,92614000000.0,0.34334798953058154,beneficiary,2025,https://www.sec.gov/Archives/edgar/data/1318605/000162828026003952/,xbrl
TPL,WaterSalesAndRoyalties,169701000.0,0.21260727395732845,exposed,2025,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/,xbrl
TPL,OilAndGasRoyalties,411677000.0,0.5157631641589095,exposed,2025,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/,xbrl
TPL,ProducedWaterRoyalties,124218000.0,0.15562460065899097,exposed,2025,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/,xbrl
TPL,EasementandSundry,91775000.0,0.1149788897380323,exposed,2025,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/,xbrl
TPL,LandSales,819000.0,0.0010260714867387465,neutral,2025,https://www.sec.gov/Archives/edgar/data/1811074/000181107426000018/,xbrl
TXT,Bell,4282000000.0,0.2893438745861207,exposed,2025,https://www.sec.gov/Archives/edgar/data/217346/000021734626000006/,xbrl
TXT,TextronEAviationSegment,27000000.0,0.0018244475978106628,exposed,2025,https://www.sec.gov/Archives/edgar/data/217346/000021734626000006/,xbrl
TXT,TextronSystems,1247000000.0,0.08426245016555173,neutral,2025,https://www.sec.gov/Archives/edgar/data/217346/000021734626000006/,xbrl
TXT,Finance,75000000.0,0.005067909993918508,neutral,2025,https://www.sec.gov/Archives/edgar/data/217346/000021734626000006/,xbrl
