ticker,adsh,ddate,axis,tag,member,revenue,filing_url
STZ,0000016918-26-000011,20260228,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,Beer,8315200000.0,https://www.sec.gov/Archives/edgar/data/16918/000001691826000011/
STZ,0000016918-26-000011,20260228,BusinessSegments,RevenueFromContractWithCustomerExcludingAssessedTax,ConstellationWinesAndSpirits,823800000.0,https://www.sec.gov/Archives/edgar/data/16918/000001691826000011/
CPRT,0001628280-25-042946,20250731,ProductOrService,RevenueFromContractWithCustomerIncludingAssessedTax,Service,3968662000.0,https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/
CPRT,0001628280-25-042946,20250731,ProductOrService,RevenueFromContractWithCustomerIncludingAssessedTax,Product,678296000.0,https://www.sec.gov/Archives/edgar/data/900075/000162828025042946/
CTVA,0001755672-26-000004,20251231,BusinessSegments,Revenues,CropProtection,7503000000.0,https://www.sec.gov/Archives/edgar/data/1755672/000175567226000004/
CTVA,0001755672-26-000004,20251231,BusinessSegments,Revenues,Seed,9898000000.0,https://www.sec.gov/Archives/edgar/data/1755672/000175567226000004/
COST,0000909832-25-000101,20250831,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,FoodandSundries,109564000000.0,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
COST,0000909832-25-000101,20250831,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,FreshFood,37988000000.0,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
COST,0000909832-25-000101,20250831,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,Membership,5323000000.0,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
COST,0000909832-25-000101,20250831,ProductOrService,RevenueFromContractWithCustomerExcludingAssessedTax,NonFoods,71190000000.0,https://www.sec.gov/Archives/edgar/data/909832/000090983225000101/
